customer id,Name,Personal status ,Present residence since,Present employment since,Job,age,Housing,Telephone,foreign worker
AB-100151402,Aaron Bergman,male   : single,4,8,skilled employee ,67,own,yes,yes
JR-162107,Justin Ritter,female : divorced/separated,2,2,skilled employee ,22,own,none,yes
CR-127307,Craig Reiter,male   : single,3,4,unskilled ,49,own,none,yes
KM-1637548,Katherine Murray,male   : single,4,4,skilled employee ,45,for free,none,yes
RH-9495111,Rick Hansen,male   : single,4,2,skilled employee ,53,for free,none,yes
JM-156557,Jim Mitchum,male   : single,4,2,unskilled ,35,for free,yes,yes
TS-2134092,Toby Swindell,male   : single,4,8,skilled employee ,53,own,none,yes
MB-1808592,Mick Brown,male   : single,2,2,management,35,rent,yes,yes
AB-100151404,Aaron Bergman,male   : divorced/separated,4,4,unskilled ,61,own,none,yes
AJ-107801,Anthony Jacobs,male   : married/widowed,2,0,management,28,own,none,yes
MM-7260110,Magdelene Morse,female : divorced/separated,1,1,skilled employee ,25,rent,none,yes
VF-2171518,Vicky Freymann,female : divorced/separated,4,1,skilled employee ,24,rent,none,yes
PF-1912027,Peter Fuller,female : divorced/separated,1,2,skilled employee ,22,own,yes,yes
BP-1118545,Ben Peterman,male   : single,4,8,unskilled ,60,own,none,yes
PJ-1883564,Patrick Jones,female : divorced/separated,4,2,skilled employee ,28,rent,none,yes
JS-156857,Jim Sink,female : divorced/separated,2,2,unskilled ,32,own,none,yes
RH-9555129,Ritsa Hightower,male   : single,4,8,skilled employee ,53,own,none,yes
AB-600103,Ann Blume,male   : single,3,1,skilled employee ,25,own,none,yes
JK-1532527,Jason Klamczynski,female : divorced/separated,2,8,management,44,for free,yes,yes
LB-16795139,Laurel Beltran,male   : single,2,8,skilled employee ,31,own,yes,yes
NP-1832582,Naresj Patel,male   : single,4,2,skilled employee ,48,own,yes,yes
VD-2167039,Valerie Dominguez,male   : single,3,2,skilled employee ,44,rent,none,yes
PB-19210127,Phillip Breyer,male   : single,3,1,unskilled ,48,rent,none,no
