"","X.1","X","customer.id","Name.x","default","Personal.status","Present.residence.since","Present.employment.since","Job","age","Housing","Telephone","foreign.worker","Account.Status","Duration.in.Month","Savings.account.bonds","Property","Credit.history","Purpose","Credit.amount","Installment.rate","guarantors","Other.installment.plans","Number.of.existing.credits","liable.to.provide.maintenance"
"1",1,1,"AA-10480130","Andrew Allen",1,"male   : single",2,4,"skilled employee ",35,"own","yes","yes",190,15,0,"real estate","critical account","radio/television",2728,4,"guarantor","Bank",3,1
"2",2,2,"AA-1048031","Andrew Allen",2,"female : divorced/separated",4,1,"unskilled ",23,"rent","yes","yes",0,24,90,"real estate","existing credits paid back duly till now","furniture/equipment",3234,4,"none","none",1,1
"3",3,3,"AA-1048059","Andrew Allen",1,"male   : single",2,10,"unskilled ",48,"own","none","yes",10,24,90,"life insurance","critical account","radio/television",1743,4,"none","none",2,1
"4",4,4,"AB-100151402","Aaron Bergman",1,"male   : single",4,8,"skilled employee ",67,"own","yes","yes",0,6,0,"real estate","critical account","radio/television",1169,4,"none","none",2,1
"5",5,5,"AB-100151404","Aaron Bergman",1,"male   : divorced/separated",4,4,"unskilled ",61,"own","none","yes",10,12,1500,"real estate","existing credits paid back duly till now","radio/television",3059,2,"none","none",1,1
"6",6,6,"AB-1001527","Aaron Bergman",1,"male   : single",1,9,"skilled employee ",47,"own","yes","yes",10,48,0,"real estate","critical account","radio/television",3578,4,"none","none",1,1
"7",7,7,"AB-1001545","Aaron Bergman",1,"female : divorced/separated",4,10,"skilled employee ",35,"for free","none","yes",10,15,900,"","existing credits paid back duly till now"," New Car",5324,1,"none","none",1,1
"8",8,8,"AB-100157","Aaron Bergman",2,"female : divorced/separated",4,3,"skilled employee ",20,"rent","none","yes",0,12,80,"car or other","existing credits paid back duly till now","furniture/equipment",1282,2,"none","none",1,1
"9",9,9,"AB-10060117","Adam Bellavance",1,"female : divorced/separated",4,3,"skilled employee ",33,"own","yes","yes",190,18,80,"car or other","all credits paid back duly","furniture/equipment",3244,1,"none","Bank",2,1
"10",10,10,"AB-100601402","Adam Bellavance",1,"male   : single",3,4,"unskilled ",28,"rent","none","yes",190,18,80,"real estate","existing credits paid back duly till now"," New Car",6260,3,"none","none",1,1
"11",11,11,"AB-100601404","Adam Bellavance",1,"male   : single",4,4,"skilled employee ",24,"rent","none","yes",190,36,80,"car or other","existing credits paid back duly till now","radio/television",2323,4,"none","none",1,1
"12",12,12,"AB-100601406","Adam Bellavance",1,"female : divorced/separated",2,2,"skilled employee ",24,"own","none","yes",10,6,80,"real estate","delay in paying off in the past","radio/television",932,3,"none","none",1,1
"13",13,13,"AB-100601408","Adam Bellavance",2,"male   : single",4,8,"management",39,"own","yes","yes",10,18,80,"","all credits at this bank paid back duly"," New Car",6458,2,"none","Bank",2,2
"14",14,14,"AB-1006028","Adam Bellavance",1,"male   : single",4,8,"skilled employee ",56,"own","none","yes",10,12,70,"real estate","critical account","radio/television",618,4,"none","none",1,1
"15",15,15,"AB-1006059","Adam Bellavance",1,"male   : single",4,10,"skilled employee ",54,"for free","none","yes",10,24,90,"","critical account","education",1597,4,"none","none",2,2
"16",16,16,"AB-101051402","Adrian Barton",1,"female : divorced/separated",4,1,"unskilled ",23,"own","none","yes",50,13,80,"life insurance","existing credits paid back duly till now","radio/television",2101,2,"guarantor","none",1,1
"17",17,17,"AB-101051404","Adrian Barton",2,"male   : single",3,10,"skilled employee ",32,"for free","none","yes",50,9,1500,"","critical account","education",1136,4,"none","none",2,2
"18",18,18,"AB-101051406","Adrian Barton",1,"male   : married/widowed",3,3,"skilled employee ",21,"rent","yes","yes",50,18,80,"car or other","existing credits paid back duly till now","Used Car",2779,1,"none","none",1,1
"19",19,19,"AB-101051408","Adrian Barton",1,"male   : single",1,1,"unskilled ",37,"own","none","yes",250,10,80,"life insurance","existing credits paid back duly till now"," New Car",3949,1,"guarantor","none",1,2
